instance,configuration,seed,graph_pmx,gls,evaluation_budget,front_size,hv,igd_plus,spread
ot_small,D_graph_pmx_gls,0,True,True,1500,53,109229.382125,0.7271766205662799,144.00875947750538
ot_small,D_graph_pmx_gls,1,True,True,1500,51,107182.286275,0.24722012203976848,155.33071202514975
ot_small,D_graph_pmx_gls,2,True,True,1500,50,111178.11845000001,0.19636068435979886,194.6689329659204
ot_small,D_graph_pmx_gls,3,True,True,1500,50,107777.04437500001,0.5250779322349195,193.6465160317634
ot_small,D_graph_pmx_gls,4,True,True,1500,50,109152.9373,1.1305847000392741,190.92280899591333
ot_small,D_graph_pmx_gls,5,True,True,1500,50,110203.41070000001,0.37268086867627254,183.72836472357773
ot_small,D_graph_pmx_gls,6,True,True,1500,50,106394.487925,0.31415523450242455,149.6940280428381
ot_small,D_graph_pmx_gls,7,True,True,1500,50,107853.813775,0.7722546295472645,198.98672916114282
ot_small,D_graph_pmx_gls,8,True,True,1500,50,107372.54052500002,0.29338819447215225,140.56124999444194
ot_small,D_graph_pmx_gls,9,True,True,1500,50,108176.229425,1.5301095774845435,161.9775040604096
ot_small,D_graph_pmx_gls,10,True,True,1500,50,109951.473375,0.2405268814989201,194.6711607755242
ot_small,D_graph_pmx_gls,11,True,True,1500,51,107504.91435,0.3960892686521429,177.13026336750025
ot_small,D_graph_pmx_gls,12,True,True,1500,51,110124.7162,0.20814360067657217,157.52821198531393
ot_small,D_graph_pmx_gls,13,True,True,1500,51,109762.5188,0.24881327897560948,157.52945141175982
ot_small,D_graph_pmx_gls,14,True,True,1500,50,107405.21352499998,0.26571832191724715,185.09249090560104
ot_small,D_graph_pmx_gls,15,True,True,1500,50,107827.9679,0.2555282519904458,179.25372476531695
ot_small,D_graph_pmx_gls,16,True,True,1500,50,107789.79410000001,0.3639173097620633,144.67766277639404
ot_small,D_graph_pmx_gls,17,True,True,1500,50,105965.159575,2.4546910641600426,201.5812949122264
ot_small,D_graph_pmx_gls,18,True,True,1500,50,110549.30435,0.753956613282536,190.92946413063123
ot_small,D_graph_pmx_gls,19,True,True,1500,50,109391.906025,0.5244929185847439,188.21640877524467
ot_small,D_graph_pmx_gls,20,True,True,1500,46,108591.5043,0.2625961462748768,190.9256921355531
ot_small,D_graph_pmx_gls,21,True,True,1500,49,103582.3132,0.45055918892963676,176.58086084083405
ot_small,D_graph_pmx_gls,22,True,True,1500,49,105863.2293,0.9746139017548843,181.01648400253498
ot_small,D_graph_pmx_gls,23,True,True,1500,48,106566.95150000002,0.3099321080614119,187.2666469589286
ot_small,D_graph_pmx_gls,24,True,True,1500,52,110114.87862500001,0.13402837557423886,194.66886830112307
ot_small,D_graph_pmx_gls,25,True,True,1500,50,109874.013475,0.45830329941929254,193.22662736344077
ot_small,D_graph_pmx_gls,26,True,True,1500,50,108269.04545,0.6717402840589419,196.87071134348554
ot_small,D_graph_pmx_gls,27,True,True,1500,52,108771.32080000002,0.4024209205138584,194.31741438183042
ot_small,D_graph_pmx_gls,28,True,True,1500,50,109315.57695,0.24170853503184672,203.9064462141646
ot_small,D_graph_pmx_gls,29,True,True,1500,50,108788.921275,0.8791466282388597,192.78559974946262
